DATE,TMIN
9/15/2016,46
9/16/2016,45
9/17/2016,47
9/18/2016,47
9/19/2016,54
9/20/2016,48
9/21/2016,48
9/22/2016,50
9/23/2016,31
9/24/2016,34
9/25/2016,40
9/26/2016,43
9/27/2016,43
9/28/2016,50
9/29/2016,47
9/30/2016,47
10/1/2016,45
10/2/2016,47
10/3/2016,35
10/4/2016,29
10/5/2016,36
10/6/2016,36
10/7/2016,33
10/8/2016,40
10/9/2016,42
10/10/2016,42
10/11/2016,48
10/12/2016,45
10/13/2016,47
10/14/2016,48
10/15/2016,48
10/16/2016,47
10/17/2016,46
10/18/2016,44
10/19/2016,40
10/20/2016,39
10/21/2016,41
10/22/2016,47
10/23/2016,50
10/24/2016,49
10/25/2016,42
10/26/2016,40
10/27/2016,47
10/28/2016,49
10/29/2016,48
10/30/2016,48
10/31/2016,47
11/1/2016,42
11/2/2016,39
11/3/2016,41
11/4/2016,36
11/5/2016,38
11/6/2016,37
11/7/2016,38
11/8/2016,41
11/9/2016,41
11/10/2016,42
11/11/2016,40
11/12/2016,36
11/13/2016,37
11/14/2016,39
11/15/2016,42
11/16/2016,41
11/17/2016,22
11/18/2016,18
11/19/2016,30
11/20/2016,36
11/21/2016,30
11/22/2016,28
11/23/2016,26
11/24/2016,27
11/25/2016,28
11/26/2016,28
11/27/2016,20
11/28/2016,17
11/29/2016,16
11/30/2016,11
12/1/2016,14
12/2/2016,21
12/3/2016,19
12/4/2016,20
12/5/2016,24
12/6/2016,24
12/7/2016,13
12/8/2016,11
12/9/2016,24
12/10/2016,28
12/11/2016,32
12/12/2016,29
12/13/2016,27
12/14/2016,31
12/15/2016,35
12/16/2016,30
12/17/2016,9
12/18/2016,7
12/19/2016,13
12/20/2016,22
12/21/2016,28
12/22/2016,30
12/23/2016,28
12/24/2016,24
12/25/2016,13
12/26/2016,10
12/27/2016,16
12/28/2016,24
12/29/2016,24
12/30/2016,27
12/31/2016,26
1/1/2017,24
1/2/2017,25
1/3/2017,21
1/4/2017,23
1/5/2017,25
1/6/2017,9
1/7/2017,9
1/8/2017,23
1/9/2017,31
1/10/2017,26
1/11/2017,28
1/12/2017,25
